27,20,22,1,24,40,12
9,32,20,36,30,10,25
24,30,6,8,16,7,33
11,10,40,41,36,1,38
13,15,28,31,35,14,27
25,30,39,13,4,9,22
43,15,45,17,38,14,22
1,2,26,11,8,30,41
6,16,14,31,28,12,45
33,25,5,38,35,30,14
39,22,33,14,5,20,34
35,29,39,38,27,44,8
35,45,19,4,31,21,36
7,19,41,29,38,17,2
20,33,17,36,27,38,39
33,30,2,41,39,13,37
14,34,13,1,32,44,7
28,33,26,7,29,11,19
33,19,42,28,2,29,15
5,16,10,43,33,1,41
38,4,45,16,35,21,39
17,29,12,30,33,28,24
10,41,31,23,2,6,28
44,12,36,17,3,7,16
19,42,24,18,26,30,11
5,24,36,38,42,1,18
4,34,27,29,23,19,14
31,7,13,24,44,3,6
4,21,28,44,3,10,33
24,44,9,14,6,21,5
27,26,40,3,23,20,31
42,40,6,18,3,20,4
28,30,25,35,36,5,16
29,39,21,43,32,35,24
12,19,13,40,35,14,10
45,43,33,35,41,32,39
15,36,3,42,16,39,17
14,30,41,8,10,26,35
28,8,23,24,25,32,11
37,15,40,43,1,30,18
3,12,16,42,11,19,34
30,40,45,10,37,17,27
15,33,22,36,5,8,13
3,8,27,17,29,44,2
36,1,27,39,43,22,28
15,41,33,8,20,25,26
38,29,4,43,28,20,7
29,45,10,14,27,3,20
5,3,16,10,28,12,37
22,39,10,30,5,43,7
39,30,24,10,8,35,43
37,26,33,39,17,8,38
24,9,26,25,45,37,38
37,4,39,22,17,26,36
11,10,6,24,4,36,3
7,10,41,35,36,33,11
14,5,20,31,22,23,2
21,22,30,29,35,34,42
33,20,43,35,32,21,29
25,15,39,28,44,26,18
13,39,23,16,41,5,22
14,30,41,37,25,29,28
20,7,39,16,17,45,29
17,5,37,14,33,39,4
10,17,26,13,31,38,25
23,4,19,18,26,31,15
25,15,3,19,24,27,29
35,17,9,26,33,32,34
42,45,21,28,27,8,10
7,18,22,30,34,40,12
3,23,1,37,5,22,42
24,16,1,29,34,14,21
41,40,5,36,12,25,20
18,41,29,37,9,35,31
28,1,45,35,18,10,19
38,36,42,17,13,20,30
18,17,31,4,7,37,28
37,12,25,24,36,31,4
26,20,37,36,3,35,33
19,21,3,44,29,31,1
31,29,23,2,8,30,22
12,3,31,14,4,44,9
15,23,2,8,21,13,1
20,26,3,41,27,42,28
26,15,22,30,4,28,35
12,37,35,22,45,26,30
20,13,32,31,16,40,42
32,35,27,4,33,24,41
17,29,26,36,7,16,41
20,33,38,30,12,8,15
20,43,7,10,31,4,19
39,2,26,14,15,25,32
10,7,27,4,2,28,21
41,34,45,25,15,44,9
40,28,16,18,10,37,15
27,11,43,2,7,32,10
34,10,14,29,5,20,37
41,27,35,2,14,12,43
23,11,43,42,9,34,21
11,33,1,34,4,42,32
16,9,18,4,32,10,39
37,43,24,26,12,42,17
22,45,23,28,3,35,34
39,43,42,38,22,3,6
16,12,9,22,3,41,2
39,25,27,1,43,36,9
26,4,23,32,15,9,35
6,30,8,24,12,2,25
2,26,36,25,12,3,32
11,9,22,19,7,21,30
15,43,45,44,19,26,39
34,16,43,31,8,32,37
42,22,38,8,37,16,32
2,35,3,32,34,23,9
31,42,24,26,2,18,32
21,37,1,5,2,39,6
24,32,40,15,7,26,37
35,41,44,24,43,21,2
27,31,5,38,36,41,2
10,25,33,42,39,36,35
23,7,24,11,18,22,40
16,30,10,36,17,27,39
27,9,19,43,10,23,30
21,6,38,43,18,14,45
20,38,37,1,6,16,28
16,44,30,13,19,15,26
36,32,37,20,16,27,4
3,5,1,12,40,23,27
8,2,44,5,11,28,40
17,34,3,39,18,37,20
13,35,4,41,33,26,8
26,36,28,18,38,42,13
28,13,23,7,17,43,36
9,34,4,29,30,8,3
9,38,23,6,43,22,8
27,15,16,14,6,12,43
24,33,45,10,44,20,15
36,38,45,35,13,28,33
13,22,20,9,17,44,6
16,5,31,2,9,12,4
26,40,14,28,16,2,12
6,16,28,4,12,2,17
14,22,39,16,33,26,31
25,40,31,21,4,18,39
32,12,18,21,33,45,9
37,17,38,23,30,7,19
7,9,40,39,31,14,8
8,35,27,19,17,3,12
5,16,27,45,1,13,26
36,5,24,18,44,13,10
7,27,14,38,17,41,1
7,6,43,28,10,32,31
13,28,30,45,20,31,44
42,14,13,30,2,29,40
7,15,20,2,30,5,34
32,15,22,20,28,12,11
10,4,17,11,34,7,8
5,23,28,24,31,39,12
20,34,5,41,14,21,1
43,14,45,2,41,5,31
21,36,2,38,4,44,39
33,29,41,34,20,7,13
29,27,22,41,4,21,1
13,41,2,34,44,32,16
3,24,7,2,38,29,14
34,43,11,25,4,22,6
17,27,38,2,19,33,28
16,29,3,36,37,21,45
42,19,33,6,44,28,23
8,40,28,21,19,30,38
29,3,5,35,45,23,13
2,41,36,38,42,37,30
13,3,22,39,29,21,5
2,39,40,1,12,32,31
5,19,11,13,40,22,42
31,39,15,9,28,41,1
27,36,38,8,40,26,35
25,16,24,43,20,15,30
11,32,25,23,22,39,16
18,42,13,28,23,1,4
36,34,8,11,9,16,40
27,23,33,5,2,6,35
3,23,27,30,11,33,21
33,1,36,20,41,2,29
9,44,3,28,26,18,22
42,1,32,10,29,12,45
24,7,9,35,18,14,20
14,28,2,3,25,29,32
30,20,8,31,7,33,28
24,42,26,10,37,19,43
4,15,24,39,30,37,9
3,19,29,42,22,11,13
21,10,39,4,34,31,29
31,26,44,23,2,16,41
23,12,10,39,20,33,41
37,40,43,18,3,8,31
18,5,23,29,24,15,35
16,11,43,6,10,22,38
28,8,26,7,33,21,3
25,5,3,19,7,42,4
17,18,19,34,39,10,31
13,6,10,32,43,11,39
22,1,39,9,41,23,7
19,11,10,29,23,26,2
21,17,8,12,44,18,29
10,44,19,31,12,22,29
20,6,35,2,11,7,12
18,36,43,28,30,35,37
44,42,27,34,11,22,39
16,11,26,37,32,8,19
29,33,30,16,25,18,6
5,25,18,38,37,44,3
43,5,29,6,32,31,38
15,1,4,13,3,39,21
43,44,10,37,41,23,15
26,42,35,45,6,4,21
9,12,11,10,17,44,4
6,43,30,2,17,21,45
31,5,42,26,35,7,11
35,7,30,40,43,37,44
25,23,9,29,7,45,42
44,9,12,39,10,41,31
34,20,18,36,23,6,24
43,32,34,42,22,5,45
44,13,4,35,3,32,31
43,17,6,31,42,16,9
43,30,32,8,12,33,23
2,15,18,27,39,32,14
27,1,42,36,28,5,43
37,8,30,19,39,10,34
18,39,6,16,42,43,27
43,12,1,26,14,6,29
5,44,11,16,43,18,12
26,44,20,8,25,15,35
19,8,33,28,2,39,21
20,11,7,40,36,18,25
26,29,9,24,31,37,15
31,3,6,44,24,34,23
42,11,26,32,7,19,25
24,22,40,30,21,8,6
25,45,10,9,2,23,39
6,31,2,9,38,10,5
17,11,5,15,16,19,41
42,40,15,28,14,27,32
24,41,25,19,29,31,42
24,7,9,23,3,35,21
43,42,37,17,5,44,13
39,1,2,27,23,13,41
20,19,21,17,12,6,42
26,36,21,7,18,8,24
5,6,13,34,17,41,38
9,25,14,29,1,26,3
1,11,31,8,16,35,12
36,2,4,27,22,6,7
35,12,45,44,14,29,20
22,30,24,38,13,27,32
40,9,28,34,5,8,7
7,23,41,22,6,33,43
21,22,10,6,16,42,14
26,18,28,15,5,7,25
4,17,25,3,12,44,37
14,11,29,23,13,19,17
41,7,38,9,45,40,8
14,20,42,30,12,36,31
6,34,9,32,41,31,14
26,22,36,21,28,40,1
6,37,18,3,32,40,35
5,29,23,10,31,17,2
39,1,40,10,7,9,43
27,35,40,2,31,36,21
9,1,26,8,33,4,36
11,22,15,28,24,10,8
19,15,26,22,21,45,16
14,32,38,22,13,37,35
10,11,33,12,35,19,30
8,45,14,23,38,17,29
9,16,26,6,8,42,25
40,7,19,18,17,25,14
35,9,45,16,24,18,8
42,15,34,29,33,30,16
30,27,32,34,39,31,44
31,43,14,12,1,27,26
5,25,33,8,14,24,42
19,29,21,25,17,7,1
20,25,30,7,22,34,15
7,1,41,11,38,35,34
25,29,40,24,45,12,35
4,8,32,37,27,1,40
31,24,42,13,6,28,2
44,33,36,4,35,8,34
36,21,7,30,35,20,2
21,34,38,30,36,39,24
4,20,39,22,16,17,13
26,4,5,23,14,27,6
20,26,27,33,4,5,2
42,4,39,27,21,7,25
33,4,22,36,26,5,43
29,17,27,8,36,2,7
17,45,21,30,39,22,3
30,40,20,11,31,29,17
13,16,7,1,41,22,27
26,21,28,38,39,44,10
35,34,7,3,20,43,45
20,7,28,26,36,13,5
35,40,8,13,27,36,34
45,25,11,1,2,28,7
9,45,22,12,16,18,25
27,30,43,11,2,35,14
26,7,27,21,29,4,38
31,12,33,5,16,2,30
34,39,11,31,4,41,6
27,4,32,11,39,3,15
39,45,37,18,43,40,24
26,9,4,30,20,27,31
12,40,3,13,20,18,7
25,21,12,19,27,22,28
10,24,39,7,3,36,35
13,1,12,44,36,43,25
37,28,10,38,44,21,7
10,23,45,31,25,36,38
22,31,23,5,45,33,37
18,21,28,37,4,8,26
12,15,30,7,22,26,21
21,13,43,19,10,3,16
1,23,42,40,5,24,19
43,16,20,17,26,34,44
38,30,21,22,12,31,32
12,8,44,36,16,33,34
10,26,45,1,36,12,13
33,1,34,39,26,40,45
26,11,38,44,8,18,2
4,28,1,26,24,2,40
40,11,20,36,28,26,34
39,40,36,4,24,29,18
26,42,14,8,24,15,39
30,33,22,28,12,6,10
38,28,39,13,21,32,2
17,3,10,34,4,20,16
32,40,5,37,28,17,25
5,37,23,20,7,11,34
42,25,40,6,19,39,20
32,45,28,7,17,5,43
36,33,18,21,43,9,6
42,34,3,45,20,33,11
25,31,36,5,38,11,1
34,21,41,40,43,5,28
10,7,28,36,13,26,2
16,9,6,27,37,15,32
5,11,25,24,38,33,10
5,34,15,24,17,43,45
20,33,30,21,13,35,26
43,45,36,9,40,30,16
42,11,27,36,30,15,10
12,8,13,24,30,18,23
44,26,13,34,16,41,35
12,1,45,40,6,33,13
44,19,2,8,24,20,34
